Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
201,383999944.9572288,205603.6119496191,768000000.0,206626.5253643104,778000000.0,206626.5253643104,191999972.4809878,178057.95105832108
202,383999944.40817714,206626.51539317728,768000000.0,207649.42895522283,778000000.0,207649.42895522283,191999972.20646197,178943.8114260616
203,383999943.85640067,207649.41883526923,768000000.0,208672.33254613527,778000000.0,208672.33254613527,191999971.93057373,179829.67179253235
204,383999943.3018994,208672.3222758878,768000000.0,209695.2361370477,778000000.0,209695.2361370477,191999971.65332308,180715.53215772714
205,383999942.7446732,209695.22571502562,768000000.0,210718.1397279601,778000000.0,210718.1397279601,191999971.37471,181601.3925216395
206,383999942.18472224,210718.12915267542,768000000.0,211741.04331887254,778000000.0,211741.04331887254,191999971.09473452,182487.25288426323
207,383999941.6220465,211741.03258883004,768000000.0,212763.94690978495,778000000.0,212763.94690978495,191999970.81339663,183373.1132455921
208,383999941.05664593,212763.93602348218,768000000.0,213786.85050069736,778000000.0,213786.85050069736,191999970.53069636,184258.97360561974
209,383999940.4885205,213786.83945662456,768000000.0,214809.75409160982,778000000.0,214809.75409160982,191999970.24663365,185144.83396433992
210,383999939.91767025,214809.74288824986,768000000.0,215832.65768252226,778000000.0,215832.65768252226,191999969.96120852,186030.69432174633
211,383999939.3440952,215832.64631835098,768000000.0,216855.5612734347,778000000.0,216855.5612734347,191999969.67442098,186916.55467783267
212,383999938.76779526,216855.54974692053,768000000.0,217878.46486434716,778000000.0,217878.46486434716,191999969.38627103,187802.4150325927
213,383999938.1887706,217878.4531739513,768000000.0,218901.3684552596,778000000.0,218901.3684552596,191999969.0967587,188688.27538602005
214,383999937.6070211,218901.35659943603,768000000.0,219924.27204617206,778000000.0,219924.27204617206,191999968.80588394,189574.13573810854
215,383999937.0225467,219924.26002336745,768000000.0,220947.17563708447,778000000.0,220947.17563708447,191999968.51364675,190459.99608885177
216,383999936.43534756,220947.16344573838,768000000.0,221970.07922799687,778000000.0,221970.07922799687,191999968.22004718,191345.85643824362
217,383999935.8454236,221970.0668665414,768000000.0,222992.98281890928,778000000.0,222992.98281890928,191999967.9250852,192231.71678627763
218,383999935.2527747,222992.97028576938,768000000.0,224015.88640982175,778000000.0,224015.88640982175,191999967.62876076,193117.57713294757
219,383999934.65740114,224015.87370341507,768000000.0,225038.79000073415,778000000.0,225038.79000073415,191999967.33107397,194003.4374782472
220,383999934.0593027,225038.77711947117,768000000.0,226061.6935916466,778000000.0,226061.6935916466,191999967.03202474,194889.29782217022
